StudentID,Attendance,AssignmentsCompleted,StudyHours,InternetHours,SleepHours,Age,PreviousGPA,Scholarship_Sí,Program_Administración,Program_Contador Auditor,Program_Ingeniería Civil,Program_Ingeniería Industrial,Program_Ingeniería Informática,FinalGrade
STU-10522,-0.1161555593626868,-0.7985387342860213,-0.20589390962671916,-0.3253012048192772,-0.4629629629629629,-0.2,0.38924132656313043,1.0,0.0,0.0,0.0,1.0,0.0,3.96
STU-10947,0.9713894123693666,-0.46330718813796073,-0.337917485265226,0.5518072289156624,-0.30864197530864196,8.4,1.0781873419872947,0.0,0.0,0.0,0.0,0.0,1.0,5.09
STU-11352,0.49511735480555036,0.35500161169012534,0.2231827111984283,0.15180722891566262,-0.19753086419753046,0.6,0.3686757738639021,0.0,0.0,1.0,0.0,0.0,0.0,4.37
STU-12298,-0.253212266575296,0.1388202428279785,1.376817288801572,0.016867469879517927,-0.5308641975308638,0.8,-0.6390363083983089,0.0,0.0,1.0,0.0,0.0,0.0,4.02
STU-13527,-1.0454000342641774,-1.011281830879983,-0.9021611001964639,-0.39518072289156636,-0.44444444444444425,-0.6,-0.8961057171386688,0.0,0.0,0.0,1.0,0.0,0.0,3.24
STU-11440,0.0,0.2617384764156007,0.2829076620825149,-0.14216867469879513,-0.8024691358024689,-0.4,1.0062079075399946,1.0,0.0,0.0,0.0,1.0,0.0,4.65
STU-11553,0.8076066472502985,0.5273450091329106,2.137524557956778,-0.672289156626506,0.6296296296296293,-0.2,1.3249739743780404,1.0,0.0,0.0,0.0,0.0,1.0,6.63
STU-13546,-1.5285249271886252,-0.11389276888363623,0.4306483300589392,0.8072289156626504,0.14814814814814828,0.4,0.8108351568973208,1.0,0.0,0.0,0.0,1.0,0.0,4.97
STU-14415,0.19016618125749468,0.14311808316321042,-0.6161100196463655,0.0,0.0,10.4,-0.9372368225371265,0.0,0.0,1.0,0.0,0.0,0.0,4.17
STU-11738,-0.6438238821312324,-1.5936391963038576,-1.2777996070726916,1.4987951807228916,0.7839506172839503,0.4,-0.26885635981219047,1.0,1.0,0.0,0.0,0.0,0.0,2.83
STU-11735,0.24430358060647478,-0.23079402600193424,-0.44793713163064836,-0.5132530120481928,0.8765432098765431,-1.0,-0.5567740976013937,0.0,0.0,0.0,0.0,0.0,1.0,4.32
STU-10686,-0.8309062874764442,-1.2734500913291074,-1.137917485265226,0.5084337349397589,1.9938271604938274,0.6,0.3275446684654445,0.0,0.0,0.0,0.0,0.0,1.0,3.11
STU-14277,-0.11821140997087602,0.0,0.6412573673870335,-1.0650602409638552,0.40123456790123474,1.8,-0.28942191251141974,0.0,0.0,1.0,0.0,0.0,0.0,3.73
STU-11715,-0.8425561075895162,0.12635650585580738,0.4117878192534383,-0.24578313253012057,-0.2716049382716046,1.4,0.358392997514287,0.0,0.0,0.0,1.0,0.0,0.0,4.24
STU-14530,-0.07366798012677862,0.01117438487160163,-0.16660117878192546,-0.708433734939759,-1.098765432098765,-0.6,0.5537657481569609,0.0,0.0,0.0,0.0,1.0,0.0,4.09
